essay_id,category,topic,sentence_count,char_count
essay_001,human_native,technology_society,38,3320
essay_002,human_native,education_policy,24,3599
essay_003,human_native,environment,27,3057
essay_004,human_native,health_lifestyle,16,2558
essay_005,human_native,urban_planning,64,6851
essay_006,human_native,technology_society,36,4116
essay_007,human_native,education_policy,19,2618
essay_008,human_native,electoral_systems,26,3881
essay_009,human_native,environment,30,4105
essay_010,human_native,health_lifestyle,22,3404
essay_011,human_native,technology_society,42,4290
essay_012,human_native,education_policy,29,4195
essay_013,human_native,urban_planning,29,3215
essay_014,human_native,environment,27,3379
essay_015,human_native,health_lifestyle,21,3153
essay_016,human_native,technology_society,55,5352
essay_017,human_native,education_policy,29,4450
essay_018,human_native,electoral_systems,30,3604
essay_019,human_native,environment,25,3027
essay_020,human_native,health_lifestyle,29,3102
essay_021,human_native,technology_society,24,3707
essay_022,human_native,education_policy,36,4454
essay_023,human_native,urban_planning,25,2839
essay_024,human_native,environment,18,2397
essay_025,human_native,health_lifestyle,39,3759
essay_026,human_native,technology_society,28,3079
essay_027,human_native,education_policy,34,5084
essay_028,human_native,electoral_systems,32,3532
essay_029,human_native,environment,25,3361
essay_030,human_native,health_lifestyle,38,4567
essay_031,human_native,technology_society,37,3306
essay_032,human_native,education_policy,27,3057
essay_033,human_native,urban_planning,30,4031
essay_034,human_native,environment,43,4354
essay_035,human_native,health_lifestyle,50,3974
essay_036,human_native,technology_society,21,3013
essay_037,human_native,education_policy,38,3361
essay_038,human_native,electoral_systems,29,4230
essay_039,human_native,environment,28,3159
essay_040,human_native,health_lifestyle,28,2514
essay_041,human_native,technology_society,48,5006
essay_042,human_native,education_policy,48,4057
essay_043,human_native,urban_planning,20,2586
essay_044,human_native,environment,32,3244
essay_045,human_native,health_lifestyle,13,2434
essay_046,human_native,technology_society,22,2477
essay_047,human_native,education_policy,32,3422
essay_048,human_native,electoral_systems,24,2168
essay_049,human_native,environment,19,2275
essay_050,human_native,health_lifestyle,23,3524
essay_051,human_native,technology_society,22,2997
essay_052,human_native,education_policy,24,2894
essay_053,human_native,urban_planning,30,3974
essay_054,human_native,environment,25,3361
essay_055,human_native,health_lifestyle,27,3057
essay_056,human_native,technology_society,25,2332
essay_057,human_native,education_policy,35,3753
essay_058,human_native,electoral_systems,46,8551
essay_059,human_native,environment,26,2416
essay_060,human_native,health_lifestyle,23,2921
essay_061,human_native,technology_society,21,2873
essay_062,human_native,education_policy,27,3025
essay_063,human_native,urban_planning,20,2703
essay_064,human_native,environment,33,3413
essay_065,human_native,health_lifestyle,19,3463
essay_066,human_native,technology_society,22,3002
essay_067,human_native,education_policy,23,2724
essay_068,human_native,electoral_systems,35,4085
essay_069,human_native,environment,18,2713
essay_070,human_native,health_lifestyle,33,3894
essay_071,human_native,technology_society,35,3162
essay_072,human_native,education_policy,20,2950
essay_073,human_native,urban_planning,28,2816
essay_074,human_native,environment,29,4230
essay_075,human_native,health_lifestyle,26,2389
essay_076,human_native,technology_society,18,3008
essay_077,human_native,education_policy,21,2585
essay_078,human_native,electoral_systems,29,2689
essay_079,human_native,environment,29,3274
essay_080,human_native,health_lifestyle,35,3906
essay_001,human_esl,art_culture,18,2120
essay_002,human_esl,technology_communication,14,2027
essay_003,human_esl,education_learning,14,1999
essay_004,human_esl,work_employment,18,2112
essay_005,human_esl,environment_sustainability,25,1867
essay_006,human_esl,government_policy,17,2389
essay_007,human_esl,social_issues,18,2344
essay_008,human_esl,art_culture,21,2331
